name,full-name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year,
cary richards, (new earth),\/wiki\/cary_richards_(new_earth),,bad characters,,,male characters,,living characters,3,"2000, june",2000,
cimarron, (new earth),\/wiki\/cimarron_(new_earth),secret identity,good characters,,black hair,male characters,,living characters,3,"2000, september",2000,
el yaguarette, (new earth),\/wiki\/el_yaguarette_(new_earth),,good characters,,,male characters,,living characters,3,"2000, september",2000,
enrico inzerillo, (new earth),\/wiki\/enrico_inzerillo_(new_earth),public identity,bad characters,,grey hair,male characters,,living characters,3,"2000, june",2000,
groundswell, (new earth),\/wiki\/groundswell_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2000, may",2000,
isabella feretti, (new earth),\/wiki\/isabella_feretti_(new_earth),public identity,bad characters,,black hair,female characters,,deceased characters,3,"2000, march",2000,
katherine riordan, (new earth),\/wiki\/katherine_riordan_(new_earth),,bad characters,green eyes,red hair,female characters,,living characters,3,"2000, december",2000,
ripjak, (new earth),\/wiki\/ripjak_(new_earth),,bad characters,,,male characters,,living characters,3,"2000, august",2000,
thrilldevil, (new earth),\/wiki\/thrilldevil_(new_earth),secret identity,bad characters,,,male characters,,living characters,3,"2000, august",2000,
wallace ebersol, (new earth),\/wiki\/wallace_ebersol_(new_earth),public identity,good characters,,black hair,male characters,,deceased characters,3,"2000, september",2000,
abu-gita, (new earth),\/wiki\/abu-gita_(new_earth),public identity,good characters,,black hair,female characters,,living characters,3,1999,1999,
bear boy, (new earth),\/wiki\/bear_boy_(new_earth),,,,brown hair,male characters,,living characters,3,"1999, february",1999,
black zero, (new earth),\/wiki\/black_zero_(new_earth),public identity,bad characters,blue eyes,black hair,male characters,,living characters,3,"1999, may",1999,
camilla malone, (new earth),\/wiki\/camilla_malone_(new_earth),public identity,good characters,black eyes,black hair,female characters,,living characters,3,"1999, february",1999,
e. wilbur wolfingham, (new earth),\/wiki\/e._wilbur_wolfingham_(new_earth),public identity,,,brown hair,male characters,,living characters,3,"1999, august",1999,
earl james, (new earth),\/wiki\/earl_james_(new_earth),,good characters,,black hair,male characters,,deceased characters,3,"1999, april",1999,
frances monaghan, (new earth),\/wiki\/frances_monaghan_(new_earth),public identity,good characters,,black hair,female characters,,deceased characters,3,"1999, march",1999,
frederick fleming, (new earth),\/wiki\/frederick_fleming_(new_earth),secret identity,bad characters,black eyes,black hair,male characters,,living characters,3,"1999, april",1999,
garl rathbone, (new earth),\/wiki\/garl_rathbone_(new_earth),public identity,good characters,violet eyes,black hair,male characters,,living characters,3,"1999, february",1999,
gonzalo vasquez, (new earth),\/wiki\/gonzalo_vasquez_(new_earth),public identity,good characters,,brown hair,male characters,,living characters,3,"1999, may",1999,
ice sickle, (new earth),\/wiki\/ice_sickle_(new_earth),,good characters,,black hair,male characters,,deceased characters,3,"1999, february",1999,
lava lord, (new earth),\/wiki\/lava_lord_(new_earth),public identity,bad characters,red eyes,,male characters,,living characters,3,"1999, february",1999,
long tom, (new earth),\/wiki\/long_tom_(new_earth),,bad characters,,,male characters,,deceased characters,3,"1999, february",1999,
rebecca tyler, (new earth),\/wiki\/rebecca_tyler_(new_earth),,neutral characters,,blond hair,female characters,,living characters,3,"1999, december",1999,
richard agoras, (new earth),\/wiki\/richard_agoras_(new_earth),,bad characters,,black hair,male characters,,living characters,3,"1999, december",1999,
shiva nataraja, (new earth),\/wiki\/shiva_nataraja_(new_earth),,,,,,,living characters,3,"1999, september",1999,
skanda, (new earth),\/wiki\/skanda_(new_earth),,neutral characters,brown eyes,black hair,male characters,,living characters,3,"1999, october",1999,
sool, (new earth),\/wiki\/sool_(new_earth),secret identity,,purple eyes,blond hair,male characters,,living characters,3,"1999, february",1999,
spotted balls, (new earth),\/wiki\/spotted_balls_(new_earth),,good characters,,black hair,male characters,,deceased characters,3,"1999, february",1999,
thula, (new earth),\/wiki\/thula_(new_earth),secret identity,good characters,white eyes,black hair,female characters,,living characters,3,"1999, may",1999,
ulgo, (new earth),\/wiki\/ulgo_(new_earth),public identity,good characters,,black hair,male characters,,living characters,3,1999,1999,
william bruce smith, (new earth),\/wiki\/william_bruce_smith_(new_earth),,bad characters,,black hair,male characters,,living characters,3,"1999, february",1999,
dolores winters ii, (new earth),\/wiki\/dolores_winters_ii_(new_earth),,,brown eyes,brown hair,female characters,,living characters,3,"1998, february",1998,
edouard laslo, (new earth),\/wiki\/edouard_laslo_(new_earth),public identity,neutral characters,black eyes,,male characters,,living characters,3,"1998, february",1998,
kal-el, (dc one million),\/wiki\/kal-el_(dc_one_million),public identity,good characters,gold eyes,gold hair,male characters,,living characters,3,"1998, november",1998,
kijaro, (new earth),\/wiki\/kijaro_(new_earth),public identity,bad characters,,white hair,male characters,,deceased characters,3,"1998, august",1998,
knob, (new earth),\/wiki\/knob_(new_earth),secret identity,good characters,,brown hair,male characters,,living characters,3,"1998, may",1998,
krakkl, (new earth),\/wiki\/krakkl_(new_earth),public identity,good characters,,,male characters,,deceased characters,3,"1998, april",1998,
morgan wilde, (new earth),\/wiki\/morgan_wilde_(new_earth),,bad characters,,,,,living characters,3,"1998, february",1998,
morrigan, (new earth),\/wiki\/morrigan_(new_earth),,,,black hair,,,living characters,3,"1998, august",1998,
quartzite, (new earth),\/wiki\/quartzite_(new_earth),secret identity,bad characters,,blond hair,female characters,,living characters,3,"1998, january",1998,
redblade, (new earth),\/wiki\/redblade_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,3,"1998, september",1998,
walter chase, (new earth),\/wiki\/walter_chase_(new_earth),secret identity,good characters,green eyes,blond hair,male characters,,deceased characters,3,"1998, july",1998,
artemis freeker, (new earth),\/wiki\/artemis_freeker_(new_earth),,bad characters,,brown hair,male characters,,living characters,3,"1997, february",1997,
baud, (new earth),\/wiki\/baud_(new_earth),secret identity,bad characters,,,female characters,,living characters,3,"1997, september",1997,
brenda ruskin, (new earth),\/wiki\/brenda_ruskin_(new_earth),public identity,good characters,,red hair,female characters,,living characters,3,"1997, february",1997,
clay brody, (new earth),\/wiki\/clay_brody_(new_earth),public identity,good characters,,,male characters,,living characters,3,"1997, february",1997,
joseph zedno, (new earth),\/wiki\/joseph_zedno_(new_earth),,bad characters,,blond hair,male characters,,living characters,3,"1997, may",1997,
kenn kawa, (new earth),\/wiki\/kenn_kawa_(new_earth),public identity,good characters,,black hair,male characters,,living characters,3,"1997, february",1997,
marlon corbet, (new earth),\/wiki\/marlon_corbet_(new_earth),public identity,good characters,brown eyes,black hair,male characters,,living characters,3,"1997, february",1997,
marnie, (new earth),\/wiki\/marnie_(new_earth),public identity,neutral characters,blue eyes,blond hair,female characters,,living characters,3,"1997, august",1997,
milo armitage, (new earth),\/wiki\/milo_armitage_(new_earth),public identity,bad characters,,grey hair,male characters,,living characters,3,"1997, september",1997,
motalla, (new earth),\/wiki\/motalla_(new_earth),,bad characters,,black hair,female characters,,living characters,3,"1997, june",1997,
nkvdemon iii, (new earth),\/wiki\/nkvdemon_iii_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,3,"1997, november",1997,
paula holt, (new earth),\/wiki\/paula_holt_(new_earth),public identity,good characters,brown eyes,brown hair,female characters,,deceased characters,3,"1997, june",1997,
professor bibbowski, (new earth),\/wiki\/professor_bibbowski_(new_earth),public identity,good characters,grey eyes,grey hair,male characters,,living characters,3,"1997, july",1997,
belyllioth, (new earth),\/wiki\/belyllioth_(new_earth),public identity,bad characters,red eyes,brown hair,female characters,,living characters,3,"1996, june",1996,
crackshot, (new earth),\/wiki\/crackshot_(new_earth),,neutral characters,,blond hair,female characters,,living characters,3,"1996, august",1996,
fixit, (new earth),\/wiki\/fixit_(new_earth),secret identity,bad characters,,white hair,male characters,,living characters,3,"1996, october",1996,
helena perrier, (new earth),\/wiki\/helena_perrier_(new_earth),public identity,good characters,,brown hair,female characters,,living characters,3,"1996, september",1996,
kendall stuart, (new earth),\/wiki\/kendall_stuart_(new_earth),public identity,good characters,,brown hair,male characters,,deceased characters,3,"1996, march",1996,
leanore we, (new earth),\/wiki\/leanore_we_(new_earth),public identity,good characters,,brown hair,female characters,,living characters,3,"1996, march",1996,
leona dorsey, (new earth),\/wiki\/leona_dorsey_(new_earth),secret identity,bad characters,blue eyes,,female characters,,living characters,3,"1996, september",1996,
marcia hargis, (new earth),\/wiki\/marcia_hargis_(new_earth),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,3,"1996, july",1996,
milos grapa, (new earth),\/wiki\/milos_grapa_(new_earth),public identity,bad characters,blue eyes,grey hair,male characters,,deceased characters,3,"1996, december",1996,
minerva, (new earth),\/wiki\/minerva_(new_earth),secret identity,bad characters,brown eyes,brown hair,female characters,,living characters,3,"1996, december",1996,
nightfist, (new earth),\/wiki\/nightfist_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,3,"1996, september",1996,
pinky butler, (new earth),\/wiki\/pinky_butler_(new_earth),secret identity,good characters,brown eyes,black hair,male characters,,living characters,3,"1996, february",1996,
pythia iii, (new earth),\/wiki\/pythia_iii_(new_earth),,bad characters,,,female characters,,living characters,3,"1996, january",1996,
rak arranya, (new earth),\/wiki\/rak_arranya_(new_earth),,good characters,,brown hair,male characters,,deceased characters,3,1996,1996,
shaxak, (new earth),\/wiki\/shaxak_(new_earth),,,brown eyes,brown hair,female characters,,living characters,3,"1996, july",1996,
sylvia danvers, (new earth),\/wiki\/sylvia_danvers_(new_earth),public identity,,brown eyes,brown hair,female characters,,living characters,3,"1996, september",1996,
wendell sharpe, (new earth),\/wiki\/wendell_sharpe_(new_earth),public identity,,brown eyes,black hair,male characters,,living characters,3,"1996, september",1996,
actuary, (new earth),\/wiki\/actuary_(new_earth),secret identity,bad characters,,white hair,male characters,,living characters,3,"1995, march",1995,
bounty, (new earth),\/wiki\/bounty_(new_earth),secret identity,bad characters,brown eyes,black hair,male characters,,living characters,3,"1995, august",1995,
chama sierra, (new earth),\/wiki\/chama_sierra_(new_earth),,bad characters,,,male characters,,living characters,3,"1995, november",1995,
curtis heller, (new earth),\/wiki\/curtis_heller_(new_earth),,bad characters,,,male characters,,living characters,3,"1995, july",1995,
eryx, (new earth),\/wiki\/eryx_(new_earth),public identity,neutral characters,blue eyes,purple hair,male characters,,living characters,3,"1995, july",1995,
goode ole bernie, (new earth),\/wiki\/goode_ole_bernie_(new_earth),public identity,bad characters,,red hair,male characters,,living characters,3,"1995, september",1995,
heather farr, (new earth),\/wiki\/heather_farr_(new_earth),public identity,bad characters,,blond hair,female characters,,living characters,3,"1995, july",1995,
katrina krieger, (new earth),\/wiki\/katrina_krieger_(new_earth),,bad characters,blue eyes,blond hair,female characters,,living characters,3,"1995, august",1995,
